"config","type","n_obs","n_simulations","mcar","mar","mnar","outliers","DDC","m","R","k","(intercept)","X1","X2","X3"
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.00148230011349961,0.047396826898919,-0.0766048131273331,0.0614626414070537
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.000498763252977705,0.0405872848958165,-0.0774923447419489,0.0515568713807735
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0014823001134996,0.047396826898919,-0.0766048131273331,0.0614626414070537
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00154854330619319,0.0415937367270581,-0.0782993355335053,0.0483493947617255
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0368171473400634,0.0466681532996995,0.0941040240923417,-0.0735076693034891
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0336556937187899,0.0419175093979945,0.0925782365004241,-0.0731575638476103
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0343229359486766,0.0475646498757151,0.090946338439672,-0.0764232414496829
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.035602252348146,0.0476073586195581,0.0963596925220745,-0.0746846215117171
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.103772716413809,-0.00785118257524841,0.0105883615523798,0.0183955530813744
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.104562853004618,-0.00552779055079357,0.0115127590266506,0.0148190767526576
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.103772716413816,-0.00785118257524313,0.0105883615524663,0.0183955530813605
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.106535748824628,-0.0105284395669655,0.00666904595282417,0.0109474932048468
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0885596194710906,-0.096893602651069,-0.0896763920561782,0.0545997124500645
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0873847751611462,-0.101099821886648,-0.0904207682544572,0.0484862007932969
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0885596194710906,-0.096893602651069,-0.0896763920561782,0.0545997124500645
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0838989428198926,-0.10088843011215,-0.0943371616860121,0.05159978974848
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0657146474363035,0.0460146163755897,0.0093560265143242,-0.059029988543451
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0653162917442857,0.0452790947468779,0.00767454826292302,-0.0574097084716321
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0657146474363035,0.0460146163755897,0.0093560265143242,-0.059029988543451
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0670862999039344,0.0459306196980149,0.00472217320325384,-0.0604437781858584
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0356305490906803,0.062897201937784,-0.0715939447416398,-0.0396358625070892
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0394741591410572,0.0597832732314774,-0.071780441478001,-0.0435704093586446
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0362801525949452,0.068720131559614,-0.0735732258591319,-0.0385132257091214
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0411468120512205,0.061837430089262,-0.077076513990189,-0.0415359790460544
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0199724582714483,0.047864610297064,0.00973355513827921,0.0243438779093445
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0206803829617763,0.0530356248087076,0.00801759767498395,0.0203539511016599
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0199316642675128,0.0481910753795633,0.0107127081751688,0.0256498103151891
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0236670265498012,0.0453800631920646,0.0066722028122626,0.0198269688708845
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0453374700677093,0.0464185257275166,0.00810114938585397,0.0459721857480776
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0446618852852885,0.0472038283503283,0.0154915560542447,0.0430130090234653
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0454667122865245,0.0467212844430384,0.0105539215715428,0.0462523485296658
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0417113354424598,0.0481420414847833,0.0107836029072708,0.0478891886390768
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,7.95211148788265e-05,0.000540004320751579,-0.0962901269668928,-0.01968045120232
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00163992171045595,-0.000625346604880074,-0.0941593834872562,-0.0178369975446842
